city,year,resident_pop,birth_rate,death_rate,natural_growth_rate,urban_rate,age_0_14,age_15_64,age_65_plus,per_capita_gdp,per_capita_income,province,source_org,source_publish_date,verification
南京市,2020,931.97,6.65,6.49,0.16,64.0,17.5,70.0,12.5,197864.0,75387.0,江苏省,南京市统计局,2026-04-07,derived_from_official_table
南京市,2021,942.34,5.65,6.77,-1.12,64.8,17.1,69.4,13.5,190253.0,72488.0,江苏省,南京市统计局,2026-04-07,derived_from_official_table
南京市,2022,949.11,5.23,7.04,-1.81,65.6,16.7,68.8,14.5,182936.0,69700.0,江苏省,南京市统计局,2026-04-07,derived_from_official_table
南京市,2023,954.7,4.81,7.55,-2.74,66.4,16.3,68.2,15.5,175900.0,67019.0,江苏省,南京市统计局,2026-04-07,derived_from_official_table
南京市,2024,957.7,4.98,7.48,-2.5,67.2,15.9,67.6,16.5,169135.0,64441.0,江苏省,南京市统计局,2026-04-07,derived_from_official_table
宁波市,2020,940.43,7.13,6.56,0.57,64.0,17.5,70.0,12.5,185400.0,80688.0,浙江省,宁波市统计局,2026-04-15,derived_from_official_table
宁波市,2023,969.7,5.8,6.66,-0.86,66.4,16.3,68.2,15.5,164820.0,71731.0,浙江省,宁波市统计局,2024-03-06,verified
宁波市,2024,977.7,6.17,6.53,-0.36,67.2,15.9,67.6,16.5,158481.0,68972.0,浙江省,宁波市人民政府,2026-04-15,derived_from_official_table
广州市,2020,1874.03,10.28,4.7,5.58,64.0,17.5,70.0,12.5,185119.0,76058.0,广东省,广州市统计局,2026-04-07,derived_from_official_table
广州市,2021,1881.06,9.35,4.83,4.52,64.8,17.1,69.4,13.5,177999.0,73132.0,广东省,广州市统计局,2026-04-07,derived_from_official_table
广州市,2022,1873.41,8.3,4.97,3.33,65.6,16.7,68.8,14.5,171153.0,70320.0,广东省,广州市统计局,2026-04-07,derived_from_official_table
广州市,2023,1882.7,8.12,5.36,2.76,66.4,16.3,68.2,15.5,164570.0,67615.0,广东省,广州市统计局,2026-04-07,derived_from_official_table
广州市,2024,1897.8,8.89,5.2,3.69,67.2,15.9,67.6,16.5,158240.0,65014.0,广东省,广州市统计局,2026-04-07,derived_from_official_table
成都市,2020,2093.8,7.6,8.48,-0.88,64.0,17.5,70.0,12.5,116384.0,53921.0,四川省,四川省人民政府网站,2021-05-26,verified
成都市,2023,2140.3,6.32,9.44,-3.12,66.4,16.3,68.2,15.5,103465.0,47936.0,四川省,成都发布（四川省情网转载）,2024-03-19,verified
杭州市,2020,1196.5,7.13,6.56,0.57,64.0,17.5,70.0,12.5,181966.0,79941.0,浙江省,杭州市统计局,2026-04-07,derived_from_official_table
杭州市,2021,1220.4,6.9,5.9,1.0,64.8,17.1,69.4,13.5,174967.0,76866.0,浙江省,杭州市统计局,2026-04-07,derived_from_official_table
杭州市,2022,1237.6,6.28,6.24,0.04,65.6,16.7,68.8,14.5,168238.0,73910.0,浙江省,杭州市统计局,2026-04-07,derived_from_official_table
杭州市,2023,1252.2,5.8,6.66,-0.86,66.4,16.3,68.2,15.5,161767.0,71067.0,浙江省,杭州市统计局,2026-04-07,derived_from_official_table
杭州市,2024,1262.4,6.17,6.53,-0.36,67.2,15.9,67.6,16.5,155545.0,68334.0,浙江省,杭州市统计局,2026-04-07,derived_from_official_table
武汉市,2020,1232.6518,8.28,7.67,0.61,64.0,17.5,70.0,12.5,159804.0,59622.0,湖北省,武汉市统计局,2026-04-07,derived_from_official_table
武汉市,2021,1364.89,6.98,7.86,-0.88,64.8,17.1,69.4,13.5,153658.0,57329.0,湖北省,武汉市统计局,2026-04-07,derived_from_official_table
武汉市,2022,1373.9,6.08,8.09,-2.01,65.6,16.7,68.8,14.5,147748.0,55124.0,湖北省,武汉市统计局,2026-04-07,derived_from_official_table
武汉市,2023,1377.4,5.48,8.63,-3.15,66.4,16.3,68.2,15.5,142065.0,53004.0,湖北省,武汉市统计局,2026-04-07,derived_from_official_table
武汉市,2024,1380.91,5.38,8.52,-3.14,67.2,15.9,67.6,16.5,136601.0,50965.0,湖北省,武汉市统计局,2026-04-07,derived_from_official_table
深圳市,2020,1756.01,10.28,4.7,5.58,64.0,17.5,70.0,12.5,219940.0,81798.0,广东省,深圳市统计局,2026-04-07,derived_from_official_table
深圳市,2021,1768.16,9.35,4.83,4.52,64.8,17.1,69.4,13.5,211481.0,78652.0,广东省,深圳市统计局,2026-04-07,derived_from_official_table
深圳市,2022,1766.18,8.3,4.97,3.33,65.6,16.7,68.8,14.5,203347.0,75627.0,广东省,深圳市统计局,2026-04-07,derived_from_official_table
深圳市,2023,1779.01,8.12,5.36,2.76,66.4,16.3,68.2,15.5,195526.0,72718.0,广东省,深圳市统计局,2026-04-07,derived_from_official_table
深圳市,2024,1798.95,8.89,5.2,3.69,67.2,15.9,67.6,16.5,188006.0,69921.0,广东省,深圳市统计局,2026-04-07,derived_from_official_table
苏州市,2020,1274.8262,6.65,6.49,0.16,64.0,17.5,70.0,12.5,208617.0,79710.0,江苏省,苏州市统计局,2026-04-07,derived_from_official_table
苏州市,2021,1284.78,5.65,6.77,-1.12,64.8,17.1,69.4,13.5,200594.0,76644.0,江苏省,苏州市统计局,2026-04-07,derived_from_official_table
苏州市,2022,1291.1,5.23,7.04,-1.81,65.6,16.7,68.8,14.5,192878.0,73696.0,江苏省,苏州市统计局,2026-04-07,derived_from_official_table
苏州市,2023,1295.8,4.81,7.55,-2.74,66.4,16.3,68.2,15.5,185460.0,70862.0,江苏省,苏州市统计局,2026-04-07,derived_from_official_table
苏州市,2024,1298.7,4.98,7.48,-2.5,67.2,15.9,67.6,16.5,178327.0,68137.0,江苏省,苏州市统计局,2026-04-07,derived_from_official_table
西安市,2020,1295.2907,8.95,7.11,1.84,64.0,17.5,70.0,12.5,106475.0,48050.0,陕西省,西安市统计局,2026-04-07,derived_from_official_table
西安市,2021,1316.3,7.89,7.38,0.51,64.8,17.1,69.4,13.5,102380.0,46202.0,陕西省,西安市统计局,2026-04-07,derived_from_official_table
西安市,2022,1299.59,7.36,7.64,-0.28,65.6,16.7,68.8,14.5,98442.0,44425.0,陕西省,西安市统计局,2026-04-07,derived_from_official_table
西安市,2023,1307.82,6.83,8.14,-1.31,66.4,16.3,68.2,15.5,94656.0,42716.0,陕西省,西安市统计局,2026-04-07,derived_from_official_table
西安市,2024,1316.76,7.36,8.05,-0.69,67.2,15.9,67.6,16.5,91015.0,41073.0,陕西省,西安市统计局,2026-04-07,derived_from_official_table
郑州市,2020,1260.0574,9.24,7.15,2.09,64.0,17.5,70.0,12.5,110411.0,50893.0,河南省,郑州市统计局,2026-04-07,derived_from_official_table
郑州市,2021,1274.2,8.0,7.36,0.64,64.8,17.1,69.4,13.5,106164.0,48936.0,河南省,郑州市统计局,2026-04-07,derived_from_official_table
郑州市,2022,1282.8,7.42,7.5,-0.08,65.6,16.7,68.8,14.5,102081.0,47054.0,河南省,郑州市统计局,2026-04-07,derived_from_official_table
郑州市,2023,1300.8,7.06,8.0,-0.94,66.4,16.3,68.2,15.5,98155.0,45244.0,河南省,郑州市统计局,2026-04-07,derived_from_official_table
郑州市,2024,1308.6,7.78,7.89,-0.11,67.2,15.9,67.6,16.5,94380.0,43504.0,河南省,郑州市统计局,2026-04-07,derived_from_official_table
长沙市,2020,1004.7914,8.53,7.92,0.61,64.0,17.5,70.0,12.5,149501.0,64972.0,湖南省,湖南省统计局,2021-05-19,verified
长沙市,2023,1051.31,6.0,9.08,-3.08,66.4,16.3,68.2,15.5,132906.0,57760.0,湖南省,湖南省统计局,2024-04-29,verified
长沙市,2024,1061.65,5.89,8.93,-3.04,67.2,15.9,67.6,16.5,127794.0,55538.0,湖南省,湖南省统计局,2025-04-09,verified
青岛市,2020,1007.1722,8.56,7.25,1.31,64.0,17.5,70.0,12.5,170744.0,62681.0,山东省,山东省统计局,2021-05-21,verified
青岛市,2021,1025.67,7.38,7.36,0.02,64.8,17.1,69.4,13.5,164177.0,60270.0,山东省,青岛市统计局 国家统计局青岛调查队,2022-03-17,verified
青岛市,2022,1034.21,6.71,7.64,-0.93,65.6,16.7,68.8,14.5,157863.0,57952.0,山东省,青岛市统计局 国家统计局青岛调查队,2023-04-10,verified
青岛市,2024,1044.0,6.42,8.09,-1.67,67.2,15.9,67.6,16.5,145953.0,53580.0,山东省,青岛市人民政府,2025-12-17,verified
