model,task,downloads,likes,last_modified,library,license,tags,arxiv
Qwen/Qwen3-0.6B,text-generation,28010833,1392,2025-07-26T03:46:27.000Z,transformers,license:apache-2.0,transformers|safetensors|qwen3|text-generation|conversational|arxiv:2505.09388|base_model:Qwen/Qwen3-0.6B-Base|base_model:finetune:Qwen/Qwen3-0.6B-Base|license:apache-2.0|text-generation-inference|endpoints_compatible|deploy:azure|region:us,True
Qwen/Qwen3-8B,text-generation,16766739,1187,2025-07-26T03:49:13.000Z,transformers,license:apache-2.0,transformers|safetensors|qwen3|text-generation|conversational|arxiv:2309.00071|arxiv:2505.09388|base_model:Qwen/Qwen3-8B-Base|base_model:finetune:Qwen/Qwen3-8B-Base|license:apache-2.0|eval-results|text-generation-inference|endpoints_compatible|deploy:azure|region:us,True
facebook/opt-125m,text-generation,13961085,273,2023-09-15T13:10:03.000Z,transformers,license:other,transformers|pytorch|tf|jax|opt|text-generation|en|arxiv:2205.01068|arxiv:2005.14165|license:other|text-generation-inference|deploy:azure|region:us,True
openai-community/gpt2,text-generation,13305312,3331,2024-02-19T10:57:45.000Z,transformers,license:mit,transformers|pytorch|tf|jax|tflite|rust|onnx|safetensors|gpt2|text-generation|exbert|en|doi:10.57967/hf/0039|license:mit|text-generation-inference|endpoints_compatible|deploy:azure|region:us,False
Qwen/Qwen2.5-7B-Instruct,text-generation,12875414,1405,2025-01-12T02:10:10.000Z,transformers,license:apache-2.0,transformers|safetensors|qwen2|text-generation|chat|conversational|en|arxiv:2309.00071|arxiv:2407.10671|base_model:Qwen/Qwen2.5-7B|base_model:finetune:Qwen/Qwen2.5-7B|license:apache-2.0|eval-results|text-generation-inference|endpoints_compatible|deploy:azure|region:us,True
Qwen/Qwen2.5-1.5B-Instruct,text-generation,11329964,761,2024-09-25T12:32:50.000Z,transformers,license:apache-2.0,transformers|safetensors|qwen2|text-generation|chat|conversational|en|arxiv:2407.10671|base_model:Qwen/Qwen2.5-1.5B|base_model:finetune:Qwen/Qwen2.5-1.5B|license:apache-2.0|text-generation-inference|endpoints_compatible|deploy:azure|region:us,True
trl-internal-testing/tiny-Qwen2ForCausalLM-2.5,text-generation,10965251,11,2025-12-19T19:10:57.000Z,transformers,,transformers|safetensors|qwen2|text-generation|trl|conversational|text-generation-inference|endpoints_compatible|region:us,False
Qwen/Qwen3-4B,text-generation,9931095,647,2025-07-26T03:46:39.000Z,transformers,license:apache-2.0,transformers|safetensors|text-generation|arxiv:2309.00071|arxiv:2505.09388|base_model:Qwen/Qwen3-4B-Base|base_model:finetune:Qwen/Qwen3-4B-Base|license:apache-2.0|endpoints_compatible|deploy:azure|region:us,True
meta-llama/Llama-3.2-1B-Instruct,text-generation,9230762,1508,2024-10-24T15:07:51.000Z,transformers,license:llama3.2,transformers|safetensors|llama|text-generation|facebook|meta|pytorch|llama-3|conversational|en|de|fr|it|pt|hi|es|th|arxiv:2204.05149|arxiv:2405.16406|license:llama3.2|eval-results|text-generation-inference|endpoints_compatible|region:us,True
meta-llama/Llama-3.1-8B-Instruct,text-generation,9034017,6236,2024-09-25T17:00:57.000Z,transformers,license:llama3.1,transformers|safetensors|llama|text-generation|facebook|meta|pytorch|llama-3|conversational|en|de|fr|it|pt|hi|es|th|arxiv:2204.05149|base_model:meta-llama/Llama-3.1-8B|base_model:finetune:meta-llama/Llama-3.1-8B|license:llama3.1|eval-results|text-generation-inference|endpoints_compatible|region:us,True
deepseek-ai/DeepSeek-R1,text-generation,8518111,13440,2025-03-27T04:01:59.000Z,transformers,license:mit,transformers|safetensors|deepseek_v3|text-generation|conversational|custom_code|arxiv:2501.12948|license:mit|eval-results|text-generation-inference|endpoints_compatible|fp8|region:us,True
openai/gpt-oss-20b,text-generation,6957414,4767,2025-08-26T17:25:47.000Z,transformers,license:apache-2.0,transformers|safetensors|gpt_oss|text-generation|vllm|conversational|arxiv:2508.10925|license:apache-2.0|eval-results|endpoints_compatible|8-bit|mxfp4|deploy:azure|region:us,True
nvidia/Qwen3.6-35B-A3B-NVFP4,text-generation,6785151,435,2026-06-12T21:32:12.000Z,Model Optimizer,license:apache-2.0,Model Optimizer|safetensors|qwen3_5_moe|nvidia|ModelOpt|Qwen3.6|quantized|FP4|fp4|text-generation|conversational|base_model:Qwen/Qwen3.6-35B-A3B|base_model:quantized:Qwen/Qwen3.6-35B-A3B|license:apache-2.0|8-bit|modelopt|deploy:azure|region:us,False
antirez/deepseek-v4-gguf,text-generation,6410751,307,2026-05-31T11:28:43.000Z,gguf,license:mit,gguf|quantized|deepseek|deepseek-v4|deepseek-v4-flash|moe|mixture-of-experts|2-bit|4-bit|iq2_xxs|q2_k|q4_k|ds4|apple-silicon|metal|text-generation|en|base_model:deepseek-ai/DeepSeek-V4-Flash|base_model:quantized:deepseek-ai/DeepSeek-V4-Flash|license:mit|endpoints_compatible|region:us|conversational,False
Qwen/Qwen2.5-3B-Instruct,text-generation,6305929,525,2024-09-25T12:33:00.000Z,transformers,license:other,transformers|safetensors|qwen2|text-generation|chat|conversational|en|arxiv:2407.10671|base_model:Qwen/Qwen2.5-3B|base_model:finetune:Qwen/Qwen2.5-3B|license:other|text-generation-inference|endpoints_compatible|deploy:azure|region:us,True
Qwen/Qwen3-1.7B,text-generation,5837610,499,2025-07-26T03:46:32.000Z,transformers,license:apache-2.0,transformers|safetensors|qwen3|text-generation|conversational|arxiv:2505.09388|base_model:Qwen/Qwen3-1.7B-Base|base_model:finetune:Qwen/Qwen3-1.7B-Base|license:apache-2.0|text-generation-inference|endpoints_compatible|deploy:azure|region:us,True
Qwen/Qwen3-32B,text-generation,5724077,709,2025-07-26T03:45:22.000Z,transformers,license:apache-2.0,transformers|safetensors|qwen3|text-generation|conversational|arxiv:2309.00071|arxiv:2505.09388|license:apache-2.0|eval-results|text-generation-inference|endpoints_compatible|deploy:azure|region:us,True
Qwen/Qwen3-4B-Instruct-2507,text-generation,5376006,894,2025-09-17T06:56:53.000Z,transformers,license:apache-2.0,transformers|safetensors|qwen3|text-generation|conversational|arxiv:2505.09388|license:apache-2.0|eval-results|text-generation-inference|endpoints_compatible|deploy:azure|region:us,True
hmellor/tiny-random-LlamaForCausalLM,text-generation,5219656,0,2025-04-29T22:01:04.000Z,transformers,,transformers|safetensors|llama|text-generation|conversational|arxiv:1910.09700|text-generation-inference|endpoints_compatible|region:us,True
Qwen/Qwen2.5-0.5B-Instruct,text-generation,4911991,551,2024-09-25T12:32:56.000Z,transformers,license:apache-2.0,transformers|safetensors|qwen2|text-generation|chat|conversational|en|arxiv:2407.10671|base_model:Qwen/Qwen2.5-0.5B|base_model:finetune:Qwen/Qwen2.5-0.5B|license:apache-2.0|text-generation-inference|endpoints_compatible|deploy:azure|region:us,True
