model,task,downloads,likes,last_modified,library,license,tags,arxiv
timm/mobilenetv3_small_100.lamb_in1k,image-classification,27251780,84,2025-10-19T16:12:11.000Z,timm,license:apache-2.0,timm|pytorch|safetensors|image-classification|transformers|dataset:imagenet-1k|arxiv:2110.00476|arxiv:1905.02244|license:apache-2.0|region:us,True
Falconsai/nsfw_image_detection,image-classification,9320677,1129,2025-04-06T13:42:07.000Z,transformers,license:apache-2.0,transformers|pytorch|safetensors|vit|image-classification|arxiv:2010.11929|license:apache-2.0|endpoints_compatible|deploy:azure|region:us,True
dima806/fairface_age_image_detection,image-classification,6618350,75,2024-12-15T19:54:53.000Z,transformers,license:apache-2.0,transformers|safetensors|vit|image-classification|dataset:nateraw/fairface|base_model:google/vit-base-patch16-224-in21k|base_model:finetune:google/vit-base-patch16-224-in21k|license:apache-2.0|endpoints_compatible|region:us,False
google/vit-base-patch16-224,image-classification,5513181,981,2023-09-05T15:27:12.000Z,transformers,license:apache-2.0,transformers|pytorch|tf|jax|safetensors|vit|image-classification|vision|dataset:imagenet-1k|dataset:imagenet-21k|arxiv:2010.11929|arxiv:2006.03677|license:apache-2.0|endpoints_compatible|deploy:azure|region:us,True
timm/resnet50.a1_in1k,image-classification,2738353,43,2025-07-11T18:17:03.000Z,timm,license:apache-2.0,timm|pytorch|safetensors|image-classification|transformers|arxiv:2110.00476|arxiv:1512.03385|license:apache-2.0|region:us,True
timm/resnet18.a1_in1k,image-classification,1791203,14,2025-01-21T21:13:50.000Z,timm,license:apache-2.0,timm|pytorch|safetensors|image-classification|transformers|arxiv:2110.00476|arxiv:1512.03385|license:apache-2.0|region:us,True
apple/mobilevit-small,image-classification,1501657,91,2025-02-24T21:25:21.000Z,transformers,license:other,transformers|pytorch|tf|coreml|vision|image-classification|dataset:imagenet-1k|arxiv:2110.02178|license:other|endpoints_compatible|region:us,True
amunchet/rorshark-vit-base,image-classification,1457169,3,2023-11-18T20:58:42.000Z,transformers,license:apache-2.0,transformers|tensorboard|safetensors|vit|image-classification|vision|generated_from_trainer|dataset:imagefolder|base_model:google/vit-base-patch16-224-in21k|base_model:finetune:google/vit-base-patch16-224-in21k|license:apache-2.0|model-index|endpoints_compatible|region:us,False
rizvandwiki/gender-classification,image-classification,1437331,60,2023-05-18T11:16:33.000Z,transformers,,transformers|pytorch|tensorboard|safetensors|vit|image-classification|huggingpics|model-index|endpoints_compatible|region:us,False
timm/efficientnet_b0.ra_in1k,image-classification,984777,10,2025-01-21T18:16:51.000Z,timm,license:apache-2.0,timm|pytorch|safetensors|image-classification|transformers|dataset:imagenet-1k|arxiv:2110.00476|arxiv:1905.11946|license:apache-2.0|region:us,True
timm/repvgg_a0.rvgg_in1k,image-classification,919772,1,2025-01-21T21:10:22.000Z,timm,license:mit,timm|pytorch|safetensors|image-classification|transformers|dataset:imagenet-1k|arxiv:2101.03697|license:mit|region:us,True
timm/tf_efficientnetv2_s.in21k_ft_in1k,image-classification,843001,2,2025-01-21T18:20:45.000Z,timm,license:apache-2.0,timm|pytorch|safetensors|image-classification|transformers|dataset:imagenet-1k|dataset:imagenet-21k|arxiv:2104.00298|license:apache-2.0|region:us,True
buildborderless/CommunityForensics-DeepfakeDet-ViT,image-classification,720614,15,2025-06-11T17:19:56.000Z,transformers,license:mit,transformers|safetensors|vit|image-classification|timm|detection|deepfake|forensics|deepfake_detection|community|opensight|arxiv:2411.04125|base_model:timm/vit_small_patch16_384.augreg_in21k_ft_in1k|base_model:finetune:timm/vit_small_patch16_384.augreg_in21k_ft_in1k|license:mit|endpoints_compatible|region:us,True
