model,task,downloads,likes,last_modified,library,license,tags,arxiv
stable-diffusion-v1-5/stable-diffusion-v1-5,text-to-image,1689971,1177,2024-09-07T16:20:30.000Z,diffusers,license:creativeml-openrail-m,diffusers|safetensors|stable-diffusion|stable-diffusion-diffusers|text-to-image|arxiv:2207.12598|arxiv:2112.10752|arxiv:2103.00020|arxiv:2205.11487|arxiv:1910.09700|license:creativeml-openrail-m|region:us,True
stabilityai/stable-diffusion-xl-base-1.0,text-to-image,1349715,7894,2023-10-30T16:03:47.000Z,diffusers,license:openrail++,diffusers|onnx|safetensors|text-to-image|stable-diffusion|arxiv:2307.01952|arxiv:2211.01324|arxiv:2108.01073|arxiv:2112.10752|license:openrail++|endpoints_compatible|diffusers:StableDiffusionXLPipeline|deploy:azure|region:us,True
Tongyi-MAI/Z-Image-Turbo,text-to-image,923528,4934,2026-01-30T16:58:07.000Z,diffusers,license:apache-2.0,diffusers|safetensors|text-to-image|en|arxiv:2511.22699|arxiv:2511.22677|arxiv:2511.13649|license:apache-2.0|diffusers:ZImagePipeline|deploy:azure|region:us,True
Lykon/dreamshaper-7,text-to-image,922991,63,2023-12-07T10:13:17.000Z,diffusers,license:creativeml-openrail-m,diffusers|safetensors|stable-diffusion|stable-diffusion-diffusers|text-to-image|art|artistic|anime|dreamshaper|en|license:creativeml-openrail-m|endpoints_compatible|diffusers:StableDiffusionPipeline|region:us,False
black-forest-labs/FLUX.1-dev,text-to-image,811500,13507,2025-06-27T16:22:19.000Z,diffusers,license:other,diffusers|safetensors|text-to-image|image-generation|flux|en|license:other|endpoints_compatible|diffusers:FluxPipeline|region:us,False
stabilityai/sdxl-turbo,text-to-image,677530,2593,2024-07-10T11:33:43.000Z,diffusers,license:other,diffusers|onnx|safetensors|text-to-image|license:other|diffusers:StableDiffusionXLPipeline|region:us,False
stabilityai/stable-diffusion-3.5-medium,text-to-image,617827,1002,2024-10-31T08:18:43.000Z,diffusers,license:other,diffusers|safetensors|text-to-image|stable-diffusion|en|arxiv:2403.03206|license:other|region:us,True
stabilityai/sd-turbo,text-to-image,559685,455,2024-07-10T11:38:51.000Z,diffusers,,diffusers|safetensors|text-to-image|diffusers:StableDiffusionPipeline|region:us,False
SG161222/Realistic_Vision_V5.1_noVAE,text-to-image,486020,257,2025-10-30T16:55:47.000Z,diffusers,license:creativeml-openrail-m,diffusers|safetensors|license:creativeml-openrail-m|endpoints_compatible|diffusers:StableDiffusionPipeline|region:us,False
lightx2v/Qwen-Image-Lightning,text-to-image,485275,808,2025-11-03T11:20:08.000Z,diffusers,license:apache-2.0,diffusers|Qwen-Image|distillation|LoRA|lora|text-to-image|en|zh|base_model:Qwen/Qwen-Image|base_model:adapter:Qwen/Qwen-Image|license:apache-2.0|region:us,False
CompVis/stable-diffusion-v1-4,text-to-image,423949,7033,2023-08-23T21:15:42.000Z,diffusers,license:creativeml-openrail-m,diffusers|safetensors|stable-diffusion|stable-diffusion-diffusers|text-to-image|arxiv:2207.12598|arxiv:2112.10752|arxiv:2103.00020|arxiv:2205.11487|arxiv:1910.09700|license:creativeml-openrail-m|endpoints_compatible|diffusers:StableDiffusionPipeline|region:us,True
playgroundai/playground-v2.5-1024px-aesthetic,text-to-image,306323,767,2024-03-15T00:00:20.000Z,diffusers,license:other,diffusers|safetensors|text-to-image|playground|arxiv:2206.00364|arxiv:2402.17245|license:other|region:us,True
optimum-intel-internal-testing/tiny-stable-diffusion-torch,text-to-image,304906,0,2025-10-21T10:06:04.000Z,diffusers,license:apache-2.0,diffusers|license:apache-2.0|endpoints_compatible|diffusers:StableDiffusionPipeline|region:us,False
optimum-intel-internal-testing/tiny-random-stable-diffusion-xl,text-to-image,267394,0,2025-10-21T10:06:19.000Z,diffusers,license:apache-2.0,diffusers|license:apache-2.0|endpoints_compatible|diffusers:StableDiffusionXLPipeline|region:us,False
cagliostrolab/animagine-xl-4.0,text-to-image,265553,456,2025-02-13T16:16:46.000Z,diffusers,license:openrail++,diffusers|safetensors|text-to-image|stable-diffusion|stable-diffusion-xl|en|base_model:stabilityai/stable-diffusion-xl-base-1.0|base_model:finetune:stabilityai/stable-diffusion-xl-base-1.0|license:openrail++|endpoints_compatible|diffusers:StableDiffusionXLPipeline|region:us,False
black-forest-labs/FLUX.1-schnell,text-to-image,243849,5292,2024-08-16T14:37:56.000Z,diffusers,license:apache-2.0,diffusers|safetensors|text-to-image|image-generation|flux|en|license:apache-2.0|endpoints_compatible|diffusers:FluxPipeline|deploy:azure|region:us,False
RunDiffusion/Juggernaut-XL-v9,text-to-image,237150,376,2026-05-08T17:14:44.000Z,diffusers,license:creativeml-openrail-m,diffusers|stable-diffusion|stable-diffusion-xl|sdxl|text-to-image|photorealistic|photography|cinematic|portrait|juggernaut|rundiffusion|kandooai|en|base_model:stabilityai/stable-diffusion-xl-base-1.0|base_model:finetune:stabilityai/stable-diffusion-xl-base-1.0|license:creativeml-openrail-m|endpoints_compatible|diffusers:StableDiffusionXLPipeline|region:us,False
Lykon/DreamShaper,text-to-image,236941,1012,2024-04-14T10:07:25.000Z,diffusers,license:other,diffusers|stable-diffusion|stable-diffusion-diffusers|text-to-image|art|artistic|anime|en|doi:10.57967/hf/0453|license:other|diffusers:StableDiffusionPipeline|region:us,False
LyliaEngine/Pony_Diffusion_V6_XL,text-to-image,235457,129,2024-05-25T09:45:40.000Z,diffusers,license:cdla-permissive-2.0,diffusers|text-to-image|stable-diffusion|lora|template:sd-lora|base_model:Bakanayatsu/Pony-Diffusion-V6-XL-for-Anime|base_model:adapter:Bakanayatsu/Pony-Diffusion-V6-XL-for-Anime|license:cdla-permissive-2.0|region:us,False
optimum-intel-internal-testing/stable-diffusion-3-tiny-random,text-to-image,219646,0,2025-10-21T10:06:33.000Z,diffusers,,diffusers|safetensors|diffusers:StableDiffusion3Pipeline|region:us,False
segmind/small-sd,text-to-image,214417,35,2023-08-08T07:54:00.000Z,diffusers,license:creativeml-openrail-m,diffusers|stable-diffusion|stable-diffusion-diffusers|text-to-image|dataset:recastai/LAION-art-EN-improved-captions|arxiv:2305.15798|base_model:SG161222/Realistic_Vision_V4.0_noVAE|base_model:finetune:SG161222/Realistic_Vision_V4.0_noVAE|license:creativeml-openrail-m|endpoints_compatible|diffusers:StableDiffusionPipeline|region:us,True
optimum-intel-internal-testing/tiny-random-flux,text-to-image,204625,0,2025-10-21T09:55:49.000Z,diffusers,,diffusers|safetensors|endpoints_compatible|diffusers:FluxPipeline|region:us,False
nphSi/Z-Image-Lora,text-to-image,191686,116,2026-07-06T08:37:12.000Z,diffusers,license:apache-2.0,diffusers|text-to-image|lora|safetensors|z-image|base_model:Tongyi-MAI/Z-Image|base_model:adapter:Tongyi-MAI/Z-Image|license:apache-2.0|region:us,False
wikeeyang/Flux2-Klein-9B-True-V2,text-to-image,182012,161,2026-07-01T04:40:11.000Z,diffusers,license:other,diffusers|gguf|text-to-image|en|zh|base_model:black-forest-labs/FLUX.2-klein-9B|base_model:finetune:black-forest-labs/FLUX.2-klein-9B|license:other|region:us,False
Qwen/Qwen-Image,text-to-image,180549,2533,2025-08-18T02:42:19.000Z,diffusers,license:apache-2.0,diffusers|safetensors|text-to-image|en|zh|arxiv:2508.02324|license:apache-2.0|diffusers:QwenImagePipeline|deploy:azure|region:us,True
optimum-intel-internal-testing/tiny-random-latent-consistency,text-to-image,176218,0,2025-10-21T10:06:56.000Z,diffusers,license:apache-2.0,diffusers|safetensors|license:apache-2.0|diffusers:LatentConsistencyModelPipeline|region:us,False
cagliostrolab/animagine-xl-3.1,text-to-image,169196,721,2025-12-22T04:13:55.000Z,diffusers,license:openrail++,diffusers|safetensors|text-to-image|stable-diffusion|stable-diffusion-xl|en|base_model:cagliostrolab/animagine-xl-3.0|base_model:finetune:cagliostrolab/animagine-xl-3.0|license:openrail++|region:us,False
h94/IP-Adapter-FaceID,text-to-image,168080,1866,2024-04-16T08:53:12.000Z,diffusers,,diffusers|text-to-image|stable-diffusion|en|arxiv:2308.06721|region:us,True
stable-diffusion-v1-5/stable-diffusion-inpainting,text-to-image,165963,110,2024-09-06T18:58:07.000Z,diffusers,license:creativeml-openrail-m,diffusers|stable-diffusion|stable-diffusion-diffusers|text-to-image|arxiv:2207.12598|arxiv:2112.10752|arxiv:2103.00020|arxiv:2205.11487|arxiv:1910.09700|license:creativeml-openrail-m|diffusers:StableDiffusionInpaintPipeline|region:us,True
frankjoshua/novaAnimeXL_ilV140,text-to-image,156963,3,2025-12-13T02:34:13.000Z,diffusers,,diffusers|safetensors|endpoints_compatible|diffusers:StableDiffusionXLPipeline|region:us,False
SG161222/RealVisXL_V5.0,text-to-image,155648,179,2024-10-08T16:34:25.000Z,diffusers,license:openrail++,diffusers|safetensors|license:openrail++|endpoints_compatible|diffusers:StableDiffusionXLPipeline|region:us,False
SimianLuo/LCM_Dreamshaper_v7,text-to-image,153438,416,2024-03-05T08:32:22.000Z,diffusers,license:mit,diffusers|onnx|safetensors|text-to-image|en|arxiv:2310.04378|license:mit|diffusers:LatentConsistencyModelPipeline|region:us,True
stablediffusionapi/juggernaut-reborn,text-to-image,149904,3,2024-01-21T12:51:20.000Z,diffusers,license:creativeml-openrail-m,diffusers|modelslab.com|stable-diffusion-api|text-to-image|ultra-realistic|license:creativeml-openrail-m|endpoints_compatible|diffusers:StableDiffusionPipeline|region:us,False
silveroxides/Chroma-GGUF,text-to-image,145745,243,2025-09-11T23:13:42.000Z,gguf,license:apache-2.0,gguf|text-to-image|base_model:lodestones/Chroma|base_model:quantized:lodestones/Chroma|license:apache-2.0|region:us,False
xinsir/controlnet-union-sdxl-1.0,text-to-image,142314,1792,2024-07-30T09:01:56.000Z,diffusers,license:apache-2.0,diffusers|safetensors|Text-to-Image|ControlNet|Diffusers|Stable Diffusion|text-to-image|license:apache-2.0|region:us,False
John6666/one-obsession-17-red-sdxl,text-to-image,138220,3,2025-09-18T13:20:00.000Z,diffusers,license:other,diffusers|safetensors|text-to-image|stable-diffusion|stable-diffusion-xl|not-for-all-audiences|anime|girls|cute|balanced|hands|feet|texture|limbs|excellent lighting and shadow|details|finetune|my style|extreme light and shadow|composition|2D|2.5D|3D|merge|noobai|Illustrious XL v2.0|illustrious|en|base_model:Laxhar/noobai-XL-1.0|base_model:merge:Laxhar/noobai-XL-1.0|base_model:OnomaAIResearch/Illustrious-XL-v2.0|base_model:merge:OnomaAIResearch/Illustrious-XL-v2.0|license:other|endpoints_compatible|diffusers:StableDiffusionXLPipeline|region:us,False
martineux/dvine82-xl,text-to-image,135284,0,2026-02-04T04:46:34.000Z,diffusers,,diffusers|safetensors|endpoints_compatible|diffusers:StableDiffusionXLPipeline|region:us,False
city96/FLUX.1-dev-gguf,text-to-image,132284,1378,2024-08-18T08:14:09.000Z,gguf,license:other,gguf|text-to-image|image-generation|flux|base_model:black-forest-labs/FLUX.1-dev|base_model:quantized:black-forest-labs/FLUX.1-dev|license:other|region:us,False
John6666/nova-furry-xl-il-v120-sdxl,text-to-image,128603,5,2025-10-01T02:46:03.000Z,diffusers,license:other,diffusers|safetensors|text-to-image|stable-diffusion|stable-diffusion-xl|not-for-all-audiences|anime|hentai|furry|furry style|2D|2.5D|3D|feral|yiff|anthro|animals|detail|posing|e621/rule34 tags|merge|noobai|Illustrious XL v2.0|illustrious|en|base_model:Laxhar/noobai-XL-1.1|base_model:merge:Laxhar/noobai-XL-1.1|base_model:OnomaAIResearch/Illustrious-XL-v2.0|base_model:merge:OnomaAIResearch/Illustrious-XL-v2.0|license:other|endpoints_compatible|diffusers:StableDiffusionXLPipeline|region:us,False
John6666/amanatsu-illustrious-v11-sdxl,text-to-image,118906,3,2025-03-13T07:59:48.000Z,diffusers,license:other,diffusers|safetensors|text-to-image|stable-diffusion|stable-diffusion-xl|anime|girls|characters|detailed anime look|backgrounds|better eyes|illustrious|en|base_model:OnomaAIResearch/Illustrious-xl-early-release-v0|base_model:finetune:OnomaAIResearch/Illustrious-xl-early-release-v0|license:other|endpoints_compatible|diffusers:StableDiffusionXLPipeline|region:us,False
krea/Krea-2-Turbo,text-to-image,109470,529,2026-06-23T16:23:00.000Z,diffusers,license:other,diffusers|safetensors|text-to-image|en|base_model:krea/Krea-2-Raw|base_model:finetune:krea/Krea-2-Raw|license:other|diffusers:Krea2Pipeline|region:us,False
Laxhar/noobai-XL-1.1,text-to-image,105446,140,2025-09-08T13:03:01.000Z,diffusers,license:other,diffusers|safetensors|Diffusers|Safetensors|not-for-all-audiences|text-to-image|en|base_model:Laxhar/noobai-XL-1.0|base_model:finetune:Laxhar/noobai-XL-1.0|license:other|endpoints_compatible|diffusers:StableDiffusionXLPipeline|region:us,False
optimum-intel-internal-testing/tiny-random-sana,text-to-image,104651,0,2025-10-21T10:10:19.000Z,diffusers,,diffusers|safetensors|diffusers:SanaPipeline|region:us,False
xinsir/controlnet-openpose-sdxl-1.0,text-to-image,100113,299,2024-07-09T15:42:09.000Z,diffusers,license:apache-2.0,diffusers|safetensors|openpose|controlnet|controlnet-openpose-sdxl-1.0|text_to_image|text-to-image|arxiv:2302.05543|license:apache-2.0|region:us,True
SG161222/RealVisXL_V4.0,text-to-image,98314,291,2024-10-08T16:34:46.000Z,diffusers,license:openrail++,diffusers|safetensors|doi:10.57967/hf/5476|license:openrail++|endpoints_compatible|diffusers:StableDiffusionXLPipeline|region:us,False
lightx2v/Qwen-Image-2512-Lightning,text-to-image,97771,219,2026-01-15T10:37:26.000Z,diffusers,license:apache-2.0,diffusers|diffusion-single-file|comfyui|distillation|LoRA|lora|Qwen-Image|text-to-image|base_model:Qwen/Qwen-Image-2512|base_model:adapter:Qwen/Qwen-Image-2512|license:apache-2.0|region:us,False
tencent/HunyuanImage-3.0,text-to-image,95430,1096,2026-01-28T08:14:42.000Z,transformers,license:other,transformers|safetensors|hunyuan_image_3_moe|text-generation|text-to-image|custom_code|arxiv:2509.23951|license:other|region:us,True
